Mp,C_percent,N_percent,O_percent,DECC,Psi_e_A,piPC05,PCR,Vindex,SpMAD_A,WiA_D/Dt,SpMAD_B(p),MATS2m,MATS5m,MATS5p,MATS8p,MATS1i,MATS7i,GATS4m,GATS8m,GATS2p,GATS2i,GATS4i,GATS6i,SpMax2_Bh(p),SpMax2_Bh(i),SpMin1_Bh(p),SpMin3_Bh(i),P_VSA_p_3,P_VSA_i_2,P_VSA_s_3,P_VSA_s_6,P_VSA_ppp_D,P_VSA_ppp_cyc,Eta_D_epsiA,Eta_psi1,SpMaxA_AEA(dm),SM12_AEA(ri),SdssC,SaasC,mindssC,CATS2D_00_LL,SHED_AL,SHED_LL,Uc,TPSA_efficiency,LOGPcons,SAscore,QEDu,MACCSFP125,Actividad
0.7063,49.0196,7.8431,3.9216,2.4225,7.7742,6.3569,1.5451,0.1715,1.3173,0.5706,1.6067,0.0259,-0.0547,0.0156,0.0394,0.0345,-0.0279,0.9713,0.9798,1.0379,1.1649,1.1174,0.9756,3.8298,3.9425,2.1466,1.8108,196.3621,196.3621,33.4701,92.7921,36.0215,171.2141,0.162,0.5946,0.1039,3.7234,-0.1076,4.657,-0.1076,18,12.093,13.6163,4.7004,0.1864,4.9589,3.7928,0.4688,1,Act1
0.6858,44.898,2.0408,6.1224,2.2332,7.714,5.7432,1.422,0.1921,1.2952,0.6844,1.5119,0.0048,0.0559,0.1398,0.1613,-0.0158,-0.0992,1.0239,0.6796,0.9808,1.1297,1.119,0.9712,3.8373,3.9242,2.0437,1.823,186.6184,147.4698,34.4058,103.8318,60.6941,127.3541,0.1492,0.5885,0.1121,3.6156,0.0,5.4411,0.0,15,10.6786,13.3661,4.2479,0.1321,4.9886,3.4183,0.5459,1,Act1
0.6624,43.1034,3.4483,8.6207,1.5313,7.8073,6.069,1.2846,0.1836,1.3198,0.4358,1.5195,0.0314,0.1168,-0.0208,-0.0717,-0.1633,-0.0087,0.8882,1.1082,0.9333,1.0518,0.9418,0.9348,3.8317,3.9198,2.0548,1.6963,128.3683,128.3683,53.2094,114.973,42.6833,141.0456,0.1551,0.5536,0.1115,3.8332,-0.02,2.6252,-0.2825,13,10.6879,9.2905,4.0,0.1915,2.3197,4.2305,0.7198,1,Act-1
0.6523,41.5385,3.0769,9.2308,1.5771,7.8048,6.168,1.2837,0.1812,1.3127,0.4548,1.4977,0.0948,0.1307,0.0604,-0.166,-0.1862,0.05,0.9706,1.1185,0.8528,0.976,1.0618,1.0108,3.8454,3.9346,2.0654,1.6965,137.5531,137.5531,61.6384,125.9729,42.6833,130.5221,0.1541,0.5452,0.103,3.9712,-0.0688,3.8321,-0.2951,13,11.3111,9.1914,4.0,0.1932,2.557,4.364,0.6033,1,Act1
0.6642,43.3962,3.7736,7.5472,1.396,7.8563,6.0462,1.313,0.2249,1.2847,0.4429,1.5117,0.13,0.1135,-0.0622,-0.106,-0.1622,-0.1475,0.8404,1.1125,0.8355,0.9228,0.8244,0.8752,3.8317,3.9181,2.0546,1.6218,131.7649,131.7649,39.8132,103.9731,42.6833,113.5252,0.1486,0.5641,0.1254,3.8235,0.0563,2.7764,-0.2672,13,8.6299,8.767,4.0,0.1885,2.6137,4.2947,0.8152,1,Act-1
0.6421,40.2778,2.7778,6.9444,1.7469,7.6944,6.1535,1.3088,0.2047,1.2781,0.4993,1.4633,0.1282,0.037,-0.0355,-0.0368,-0.2171,-0.1316,0.8645,1.0503,0.9014,0.9758,0.8966,0.9771,3.8363,3.9269,2.0574,1.6275,164.6798,164.6798,64.5539,83.2895,0.0,114.5358,0.1232,0.5687,0.1029,3.9436,0.1081,3.9684,-0.255,16,11.0157,13.5821,4.0,0.1466,4.1174,4.4,0.4461,1,Act1
0.6852,42.8571,4.0816,6.1224,1.3061,7.9435,6.0183,1.3572,0.2185,1.3105,0.5771,1.5656,0.0897,0.0368,0.1213,-0.1193,-0.1125,-0.0539,0.9977,0.9048,1.0221,1.0599,0.8831,0.8735,3.8502,3.9392,2.0214,1.6475,130.7009,124.655,39.3688,85.5659,0.0,154.0722,0.1764,0.5572,0.1729,3.9826,0.0,0.6907,0.0,14,5.547,6.6751,4.3219,0.1792,4.706,3.6149,0.6422,1,Act1
0.682,43.5897,12.8205,0.0,1.1818,7.5606,6.1326,1.4697,0.2378,1.343,0.3881,1.5833,0.1096,0.053,0.0821,0.0415,-0.1202,-0.0305,1.0221,1.035,0.9551,0.8915,1.0846,1.1394,3.8553,3.942,2.0918,1.5634,101.6273,101.6273,16.9921,66.4682,50.9079,143.7485,0.1303,0.6034,0.1427,3.7092,0.3957,3.1478,0.3957,12,6.6298,9.6187,4.1699,0.2342,3.7336,4.4473,0.7805,1,Act-1
0.7791,53.8462,7.6923,5.1282,1.7765,8.1571,6.3157,1.5623,0.1809,1.295,0.579,1.6119,0.0043,0.0419,0.2675,0.0261,-0.0302,-0.0306,1.0829,1.0083,0.9024,1.0151,1.0527,0.9685,3.8778,3.9772,2.0301,1.8565,225.326,147.0287,45.1407,175.7546,18.0108,152.0151,0.288,0.5518,0.1268,4.0226,-0.6624,1.1343,-0.6624,14,9.7078,12.3325,4.6439,0.1852,5.2246,3.993,0.4345,1,Act1
0.7187,48.9362,4.2553,8.5106,1.8533,7.7815,6.3416,1.5227,0.1557,1.3348,0.5074,1.575,0.0613,0.0805,0.167,-0.0586,-0.0933,-0.0607,1.077,1.0505,0.8981,1.0732,1.0998,0.9834,3.8688,3.9806,2.0464,1.8573,185.4508,146.3021,52.1907,112.5862,18.0108,181.0649,0.2058,0.5615,0.1054,3.9877,-0.27,4.8055,-0.27,14,10.6738,11.5835,4.585,0.1749,4.5416,3.9853,0.4708,1,Act1
