LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
6.0062,0,1.0541,7.4417,0.0,0.6227,2.135,11.2027,3.4678,53.5284,0.0495,Act-1
5.4531,0,1.1464,7.5361,0.0,0.6454,2.1349,11.2027,3.4684,44.0413,0.0488,Act-1
4.5984,0,1.1196,7.5891,0.0,0.6394,2.1349,11.6851,3.4823,46.3045,0.0614,Act1
2.7416,0,1.1615,7.7103,128.05,0.6333,2.1333,7.3277,3.6447,19.0438,0.0042,Act1
3.6855,0,1.1644,7.5292,85.3667,0.6374,2.1333,7.7426,3.6072,21.5783,0.0347,Act-1
5.9848,0,1.1479,7.4684,42.6833,0.6318,2.1336,10.7833,3.6243,43.9769,0.0341,Act1
3.7116,0,1.1781,7.5958,42.6833,0.6496,2.1328,7.7426,3.7405,26.7118,0.0195,Act1
4.936,0,1.1584,7.6715,42.6833,0.6545,2.1345,10.0508,3.61,43.4948,0.0874,Act1
2.6648,0,1.115,7.875,42.6833,0.6338,2.1392,9.5844,3.8248,35.31,0.1352,Act-1
2.7187,0,1.069,7.6771,85.3667,0.6327,2.1172,7.6388,3.6292,20.9273,0.0824,Act1
4.4483,0,1.0,7.1984,42.6833,0.6377,2.1367,7.2934,3.5271,52.4958,0.0115,Act-1
3.5911,0,1.0686,7.5079,42.6833,0.6238,2.146,7.7188,3.6964,28.5953,0.0327,Act-1
3.0541,0,1.0811,7.9633,0.0,0.6384,2.1471,9.4367,3.8552,28.5953,0.0544,Act1
5.7179,0,1.1439,7.5323,0.0,0.6428,2.1444,11.1248,3.607,44.0413,0.0671,Act-1
3.6601,0,1.0722,7.5714,0.0,0.6342,2.1437,7.7188,3.7148,33.7288,0.0389,Act1
4.0732,0,1.0572,7.4846,0.0,0.6453,2.1117,9.0426,3.9125,35.7866,-0.0274,Act1
5.9626,0,1.1702,8.473,36.0215,0.6342,2.1451,9.5076,3.7702,33.7444,0.0754,Act-1
