LOGPcons,MACCSFP125,PCR,Psi_e_A,P_VSA_ppp_D,Mp,SpMin1_Bh(p),SHED_AL,SM12_AEA(ri),P_VSA_s_3,MATS5m,Actividad
0.7305,1,1.2972,8.1233,18.0108,0.6868,1.9992,10.5106,3.8127,58.3083,-0.0166,Act1
3.7635,1,1.2584,7.7559,18.0108,0.6564,2.0749,14.3568,3.642,46.9945,-0.0238,Act1
2.8022,1,1.4045,7.9839,18.0108,0.6677,2.0871,11.6756,3.9094,47.2189,-0.1049,Act1
4.4254,1,1.4869,7.5677,18.0108,0.669,2.0504,12.3994,3.9115,68.7933,0.1227,Act1
2.3341,1,1.431,8.0,60.6941,0.6629,2.0121,10.7015,4.087,34.5828,-0.2315,Act1
4.911,1,1.4024,7.6667,60.6941,0.6563,2.0661,9.2064,3.6633,40.0679,0.105,Act1
5.0897,1,1.4463,8.0794,18.0108,0.7126,2.0638,7.9844,3.9377,55.9118,0.0617,Act1
5.9282,1,1.3973,7.9083,0.0,0.6795,2.0717,8.8412,3.8896,61.8492,0.0604,Act1
2.258,0,1.3276,8.1478,16.405,0.7322,2.0376,6.9418,4.0362,56.6111,-0.1117,Act1
1.3506,0,1.331,8.2767,16.405,0.7208,2.0403,7.4454,3.7711,55.0584,-0.332,Act1
4.5847,1,1.3669,7.7963,18.0108,0.6826,2.0093,12.5258,3.8935,72.7738,-0.1942,Act1
5.4691,1,1.3523,7.8819,0.0,0.6865,2.1234,9.6427,4.1886,43.8124,-0.0095,Act1
5.216,1,1.3582,7.8976,0.0,0.6913,2.1218,9.5222,4.1885,46.3469,-0.0242,Act1
4.0349,1,1.426,7.7024,18.0108,0.6661,2.0455,8.0117,3.8899,39.1281,-0.0195,Act1
3.907,1,1.3907,7.7222,18.0108,0.6625,2.0323,12.2732,3.6915,37.1678,-0.1838,Act1
3.8853,1,1.4594,7.7667,60.6941,0.6705,2.068,10.3591,3.6396,34.9498,-0.05,Act1
4.6202,1,1.4803,7.7323,60.6941,0.6677,2.0683,11.9235,3.6689,37.93,-0.048,Act1
3.4314,1,1.4037,7.7549,18.0108,0.6592,2.0322,14.1012,3.8009,44.5169,-0.1761,Act1
3.7644,1,1.4005,7.899,18.0108,0.6653,2.0322,12.2036,3.7745,48.3945,-0.1618,Act1
3.3389,1,1.396,7.7731,18.0108,0.6529,2.0323,15.6007,3.9097,49.7603,-0.1979,Act1
3.3389,1,1.4024,7.7731,18.0108,0.6529,2.0323,15.2645,4.0184,49.7603,-0.2632,Act1
3.7448,1,1.3953,7.7333,18.0108,0.6559,2.0322,15.3544,3.6915,49.1093,-0.1338,Act1
4.4725,1,1.4569,7.5811,18.0108,0.6564,2.0763,14.807,3.7775,45.5552,-0.0828,Act1
4.0267,1,1.5621,7.529,0.0,0.6899,2.1767,6.3478,3.8619,16.6017,-0.1357,Act1
4.809,1,1.4321,7.8012,54.0323,0.6973,2.0792,11.4713,3.8776,41.4938,0.0038,Act1
4.4305,1,1.4246,7.7583,54.0323,0.6725,2.0862,12.5108,3.8518,47.829,-0.0449,Act1
4.9348,1,1.4259,7.7265,54.0323,0.6756,2.0914,11.9539,3.8514,43.7133,0.0708,Act1
2.2963,1,1.4617,7.7348,18.0108,0.6567,2.038,7.1278,3.9103,27.8432,-0.1784,Act1
2.5006,1,1.4505,7.7029,18.0108,0.6516,2.0361,7.7497,3.9101,30.3777,-0.1984,Act1
4.6109,1,1.4069,7.6768,34.7963,0.6474,2.0675,14.0707,4.2843,50.4186,-0.1453,Act1
4.2484,1,1.4783,7.4646,18.0108,0.6805,2.0524,13.1715,3.669,58.8559,-0.1597,Act1
4.064,1,1.3571,7.8724,16.405,0.6644,2.0799,11.745,3.9383,41.9259,0.0271,Act1
4.0302,1,1.4041,7.8185,0.0,0.6818,2.0985,8.621,4.1678,37.1969,-0.0125,Act1
4.0914,1,1.5157,8.2839,18.0108,0.7015,2.0367,11.8306,3.956,58.4701,0.0449,Act1
3.6531,1,1.4115,7.87,32.8972,0.7117,2.0382,7.2364,3.9748,47.2477,-0.2678,Act1
2.9458,1,1.386,7.7917,0.0,0.6512,2.0029,9.8289,3.8053,48.2012,-0.1621,Act1
3.14,1,1.4133,7.8426,16.405,0.6879,2.051,10.8015,3.9705,30.8089,-0.0494,Act1
3.692,1,1.4178,7.8488,16.405,0.6879,2.0601,9.5997,3.9743,31.4599,-0.0482,Act1
3.4607,1,1.4142,7.8125,16.405,0.6818,2.0518,11.352,3.9705,35.4013,-0.0685,Act1
4.4735,1,1.3766,7.7284,18.0108,0.7111,2.0914,8.8779,3.9108,64.2904,-0.1456,Act1
4.5871,1,1.3668,7.7333,18.0108,0.6926,2.0906,10.7911,3.7748,66.3482,-0.1509,Act1
5.3192,1,1.3668,7.6806,18.0108,0.6912,2.093,11.2694,3.8855,64.2904,-0.0463,Act1
3.159,1,1.2571,7.3567,0.0,0.6866,2.0938,7.4543,3.7113,62.9128,-0.0105,Act1
4.3016,1,1.3713,7.4349,0.0,0.6829,2.1046,13.3632,3.7258,39.3567,0.0263,Act1
4.0741,1,1.3571,7.6863,18.0108,0.6522,2.0282,14.5265,3.638,50.3417,0.026,Act1
2.7768,1,1.3619,7.9779,0.0,0.6395,2.0631,13.0502,3.8337,42.3651,-0.1184,Act1
2.783,1,1.3613,7.6667,0.0,0.6556,2.0964,15.1802,3.8621,54.5688,-0.0948,Act1
3.2546,1,1.4555,7.8678,36.0215,0.7389,2.0562,12.5245,3.9487,91.8639,-0.0064,Act1
5.4436,1,1.4471,7.6369,18.0108,0.7005,2.035,7.2607,3.9129,25.2884,-0.0519,Act1
3.563,1,1.2646,7.6833,16.7855,0.6318,2.0785,11.0679,3.9312,50.9928,-0.1035,Act1
0.8341,1,1.2938,7.9508,32.8972,0.6706,2.0818,8.7923,3.5495,14.6294,0.0407,Act-1
2.3015,1,1.2925,8.1997,34.4157,0.7381,2.008,6.818,3.9857,47.531,-0.0798,Act1
