Orden,DrugBank_ID
1061,DB01043
1062,DB01044
1063,DB01045
1064,DB01046
1065,DB01047
1066,DB01048
1067,DB01049
1068,DB01050
1069,DB01051
1070,DB01053
1071,DB01054
1072,DB01055
1073,DB01056
1074,DB01057
1075,DB01058
1076,DB01059
1077,DB01060
1078,DB01061
1079,DB01062
1080,DB01063
1081,DB01064
1082,DB01065
1083,DB01066
1084,DB01067
1085,DB01069
1086,DB01070
1087,DB01071
1088,DB01072
1089,DB01073
1090,DB01074
1091,DB01075
1092,DB01076
1093,DB01077
1094,DB01078
1095,DB01080
1096,DB01082
1097,DB01083
1098,DB01084
1099,DB01085
1100,DB01086
1101,DB01087
1102,DB01088
1103,DB01089
1104,DB01090
1105,DB01091
1106,DB01092
1107,DB01093
1108,DB01094
1109,DB01095
1110,DB01096
1111,DB01097
1112,DB01098
1113,DB01099
1114,DB01100
1115,DB01101
1116,DB01102
1117,DB01103
1118,DB01104
1119,DB01106
1120,DB01108
1121,DB01109
1122,DB01110
1123,DB01111
1124,DB01112
1125,DB01113
1126,DB01114
1127,DB01115
1128,DB01116
1129,DB01117
1130,DB01118
1131,DB01119
1132,DB01120
1133,DB01121
1134,DB01122
1135,DB01123
1136,DB01124
1137,DB01125
1138,DB01126
1139,DB01127
1140,DB01128
1141,DB01129
1142,DB01130
1143,DB01131
1144,DB01132
1145,DB01133
1146,DB01134
1147,DB01135
1148,DB01136
1149,DB01137
1150,DB01138
1151,DB01139
1152,DB01140
1153,DB01141
1154,DB01142
1155,DB01143
1156,DB01144
1157,DB01145
1158,DB01146
1159,DB01147
1160,DB01148
1161,DB01149
1162,DB01150
1163,DB01151
1164,DB01153
1165,DB01154
1166,DB01155
1167,DB01156
1168,DB01157
1169,DB01158
1170,DB01159
1171,DB01160
1172,DB01161
1173,DB01162
1174,DB01163
1175,DB01164
1176,DB01165
1177,DB01166
1178,DB01167
1179,DB01168
1180,DB01169
1181,DB01170
1182,DB01171
1183,DB01172
1184,DB01173
1185,DB01174
1186,DB01175
1187,DB01176
1188,DB01177
1189,DB01178
1190,DB01179
1191,DB01180
1192,DB01181
1193,DB01182
1194,DB01183
1195,DB01184
1196,DB01186
1197,DB01187
1198,DB01188
1199,DB01189
1200,DB01190
1201,DB01192
1202,DB01193
1203,DB01194
1204,DB01195
1205,DB01196
1206,DB01197
1207,DB01198
1208,DB01199
1209,DB01200
1210,DB01201
1211,DB01202
1212,DB01203
1213,DB01204
1214,DB01205
1215,DB01206
1216,DB01207
1217,DB01208
1218,DB01209
1219,DB01210
1220,DB01211
1221,DB01212
1222,DB01213
1223,DB01214
1224,DB01216
1225,DB01217
1226,DB01218
1227,DB01219
1228,DB01221
1229,DB01222
1230,DB01223
1231,DB01224
1232,DB01225
1233,DB01226
1234,DB01227
1235,DB01228
1236,DB01229
1237,DB01231
1238,DB01232
1239,DB01233
1240,DB01234
1241,DB01235
1242,DB01236
1243,DB01237
1244,DB01238
1245,DB01239
1246,DB01240
1247,DB01241
1248,DB01242
1249,DB01243
1250,DB01244
1251,DB01245
1252,DB01246
1253,DB01247
1254,DB01248
1255,DB01249
1256,DB01250
1257,DB01251
1258,DB01252
1259,DB01253
1260,DB01254
1261,DB01255
1262,DB01256
1263,DB01258
1264,DB01259
1265,DB01260
1266,DB01261
1267,DB01262
1268,DB01263
1269,DB01264
1270,DB01265
1271,DB01267
1272,DB01268
1273,DB01273
1274,DB01274
1275,DB01275
1276,DB01280
1277,DB01282
1278,DB01283
1279,DB01284
1280,DB01287
1281,DB01288
1282,DB01289
1283,DB01291
1284,DB01294
1285,DB01295
1286,DB01296
1287,DB01297
1288,DB01298
1289,DB01299
1290,DB01301
1291,DB01303
1292,DB01319
1293,DB01320
1294,DB01321
1295,DB01324
1296,DB01325
1297,DB01326
1298,DB01327
1299,DB01328
1300,DB01329
1301,DB01330
1302,DB01331
1303,DB01332
1304,DB01333
1305,DB01334
1306,DB01336
1307,DB01337
1308,DB01338
1309,DB01339
1310,DB01340
1311,DB01342
1312,DB01344
1313,DB01347
1314,DB01348
1315,DB01349
1316,DB01354
1317,DB01355
1318,DB01356
1319,DB01357
1320,DB01359
1321,DB01361
1322,DB01362
1323,DB01364
1324,DB01365
1325,DB01366
1326,DB01367
1327,DB01369
1328,DB01370
1329,DB01375
1330,DB01377
1331,DB01380
1332,DB01382
1333,DB01384
1334,DB01390
1335,DB01392
1336,DB01393
1337,DB01394
1338,DB01395
1339,DB01396
1340,DB01399
1341,DB01400
1342,DB01402
1343,DB01403
1344,DB01406
1345,DB01407
1346,DB01408
1347,DB01409
1348,DB01410
1349,DB01411
1350,DB01412
1351,DB01413
1352,DB01414
1353,DB01415
1354,DB01416
1355,DB01418
1356,DB01419
1357,DB01420
1358,DB01421
1359,DB01422
1360,DB01423
1361,DB01424
1362,DB01425
1363,DB01426
1364,DB01427
1365,DB01428
1366,DB01429
1367,DB01430
1368,DB01431
1369,DB01435
1370,DB01438
1371,DB01578
1372,DB01580
1373,DB01581
1374,DB01582
1375,DB01583
1376,DB01586
1377,DB01587
1378,DB01591
1379,DB01592
1380,DB01593
1381,DB01594
1382,DB01595
1383,DB01597
1384,DB01598
1385,DB01599
1386,DB01600
1387,DB01601
1388,DB01602
1389,DB01603
1390,DB01604
1391,DB01605
1392,DB01606
1393,DB01607
1394,DB01608
1395,DB01609
1396,DB01610
1397,DB01611
1398,DB01612
1399,DB01613
1400,DB01614
1401,DB01615
1402,DB01616
1403,DB01618
1404,DB01619
1405,DB01620
1406,DB01621
1407,DB01622
1408,DB01623
1409,DB01624
1410,DB01625
1411,DB01626
1412,DB01627
1413,DB01628
1414,DB01764
1415,DB02546
1416,DB02638
1417,DB02703
1418,DB04552
1419,DB04570
1420,DB04573
1421,DB04574
1422,DB04575
1423,DB04711
1424,DB04786
1425,DB04794
1426,DB04835
1427,DB04837
1428,DB04838
1429,DB04839
1430,DB04840
1431,DB04841
1432,DB04842
1433,DB04843
1434,DB04844
1435,DB04845
1436,DB04861
1437,DB04868
1438,DB04876
1439,DB04878
1440,DB04880
1441,DB04890
1442,DB04894
1443,DB04896
1444,DB04898
1445,DB04900
1446,DB04930
1447,DB04942
1448,DB04948
1449,DB04967
1450,DB05109
1451,DB05245
1452,DB05246
1453,DB05259
1454,DB05260
1455,DB05261
1456,DB05265
1457,DB05266
1458,DB05271
1459,DB05323
1460,DB05389
1461,DB05453
1462,DB05630
1463,DB06144
1464,DB06148
1465,DB06149
1466,DB06151
1467,DB06155
1468,DB06196
1469,DB06201
1470,DB06207
1471,DB06211
1472,DB06220
1473,DB06255
1474,DB06262
1475,DB06266
1476,DB06267
1477,DB06274
1478,DB06285
1479,DB06287
1480,DB06288
1481,DB06439
1482,DB06689
1483,DB00197
1484,DB00439
1485,DB00533
1486,DB00580
1487,DB00901
1488,DB00926
1489,DB01079
1490,DB01388
1491,DB01405
1492,DB03585
1493,DB03783
1494,DB04812
1495,DB04813
1496,DB04814
1497,DB04815
1498,DB04816
1499,DB04817
1500,DB04818
1501,DB04819
1502,DB04820
1503,DB04821
1504,DB04822
1505,DB04823
1506,DB04824
1507,DB04825
1508,DB04826
1509,DB04827
1510,DB04828
1511,DB04830
1512,DB04831
1513,DB04832
1514,DB04834
1515,DB01378
1516,DB01629
1517,DB01630
1518,DB01631
1519,DB01632
1520,DB01633
1521,DB01634
1522,DB01635
1523,DB01636
1524,DB01637
1525,DB01638
1526,DB01639
1527,DB01640
1528,DB01641
1529,DB01642
1530,DB01643
1531,DB01644
1532,DB01645
1533,DB01646
1534,DB01647
1535,DB01648
1536,DB01649
1537,DB01650
1538,DB01651
1539,DB01652
1540,DB01653
1541,DB01654
1542,DB01655
1543,DB01657
1544,DB01658
1545,DB01659
1546,DB01660
1547,DB01661
1548,DB01662
1549,DB01663
1550,DB01664
1551,DB01665
1552,DB01666
1553,DB01667
1554,DB01668
1555,DB01669
1556,DB01670
1557,DB01671
1558,DB01672
1559,DB01673
1560,DB01674
1561,DB01675
1562,DB01676
1563,DB01677
1564,DB01678
1565,DB01679
1566,DB01681
1567,DB01682
1568,DB01683
1569,DB01684
1570,DB01685
1571,DB01686
1572,DB01687
1573,DB01688
1574,DB01689
1575,DB01690
1576,DB01691
1577,DB01692
1578,DB01693
1579,DB01694
1580,DB01695
1581,DB01696
1582,DB01697
1583,DB01698
1584,DB01699
1585,DB01700
1586,DB01701
1587,DB01702
1588,DB01704
1589,DB01705
1590,DB01706
1591,DB01707
1592,DB01708
1593,DB01709
1594,DB01710
1595,DB01711
1596,DB01712
1597,DB01713
1598,DB01714
1599,DB01715
1600,DB01716
1601,DB01717
1602,DB01718
1603,DB01719
1604,DB01720
1605,DB01721
1606,DB01722
1607,DB01723
1608,DB01724
1609,DB01725
1610,DB01726
1611,DB01727
1612,DB01728
1613,DB01729
1614,DB01730
1615,DB01731
1616,DB01732
1617,DB01733
1618,DB01734
1619,DB01735
1620,DB01736
1621,DB01737
1622,DB01738
1623,DB01739
1624,DB01740
1625,DB01741
1626,DB01742
1627,DB01743
1628,DB01744
1629,DB01745
1630,DB01746
1631,DB01747
1632,DB01748
1633,DB01749
1634,DB01750
1635,DB01751
1636,DB01752
1637,DB01753
1638,DB01754
1639,DB01755
1640,DB01756
1641,DB01758
1642,DB01759
1643,DB01760
1644,DB01761
1645,DB01762
1646,DB01763
1647,DB01765
1648,DB01766
1649,DB01767
1650,DB01768
1651,DB01769
1652,DB01770
1653,DB01771
1654,DB01772
1655,DB01773
1656,DB01774
1657,DB01775
1658,DB01776
1659,DB01777
1660,DB01778
1661,DB01779
1662,DB01780
1663,DB01782
1664,DB01783
1665,DB01784
1666,DB01785
1667,DB01786
1668,DB01788
1669,DB01789
1670,DB01790
1671,DB01791
1672,DB01792
1673,DB01793
1674,DB01794
1675,DB01795
1676,DB01796
1677,DB01797
1678,DB01798
1679,DB01799
1680,DB01800
1681,DB01802
1682,DB01803
1683,DB01804
1684,DB01805
1685,DB01806
1686,DB01807
1687,DB01808
1688,DB01809
1689,DB01810
1690,DB01811
1691,DB01812
1692,DB01813
1693,DB01814
1694,DB01815
1695,DB01816
1696,DB01817
1697,DB01818
1698,DB01819
1699,DB01820
1700,DB01821
1701,DB01822
1702,DB01823
1703,DB01824
1704,DB01825
1705,DB01826
1706,DB01827
1707,DB01828
1708,DB01829
1709,DB01830
1710,DB01831
1711,DB01832
1712,DB01833
1713,DB01834
1714,DB01835
1715,DB01836
1716,DB01837
1717,DB01838
1718,DB01839
1719,DB01840
1720,DB01841
1721,DB01842
1722,DB01843
1723,DB01844
1724,DB01845
1725,DB01846
1726,DB01847
1727,DB01848
1728,DB01849
1729,DB01850
1730,DB01851
1731,DB01852
1732,DB01854
1733,DB01855
1734,DB01856
1735,DB01857
1736,DB01858
1737,DB01859
1738,DB01860
1739,DB01861
1740,DB01862
1741,DB01863
1742,DB01864
1743,DB01865
1744,DB01866
1745,DB01867
1746,DB01868
1747,DB01869
1748,DB01870
1749,DB01871
1750,DB01872
1751,DB01873
1752,DB01874
1753,DB01875
1754,DB01876
1755,DB01877
1756,DB01878
1757,DB01879
1758,DB01880
1759,DB01881
1760,DB01882
1761,DB01883
1762,DB01884
1763,DB01885
1764,DB01887
1765,DB01888
1766,DB01889
1767,DB01890
1768,DB01891
1769,DB01892
1770,DB01893
1771,DB01894
1772,DB01895
1773,DB01896
1774,DB01897
1775,DB01898
1776,DB01899
1777,DB01900
1778,DB01901
1779,DB01902
1780,DB01903
1781,DB01904
1782,DB01905
1783,DB01906
1784,DB01907
1785,DB01908
1786,DB01909
1787,DB01910
1788,DB01913
1789,DB01914
1790,DB01915
1791,DB01917
1792,DB01918
1793,DB01919
1794,DB01920
1795,DB01921
1796,DB01922
1797,DB01923
1798,DB01924
1799,DB01925
1800,DB01926
1801,DB01927
1802,DB01928
1803,DB01929
1804,DB01930
1805,DB01931
1806,DB01932
1807,DB01933
1808,DB01934
1809,DB01935
1810,DB01936
1811,DB01937
1812,DB01938
1813,DB01939
1814,DB01940
1815,DB01941
1816,DB01942
1817,DB01943
1818,DB01944
1819,DB01945
1820,DB01946
1821,DB01947
1822,DB01948
1823,DB01949
1824,DB01950
1825,DB01951
1826,DB01952
1827,DB01953
1828,DB01954
1829,DB01955
1830,DB01956
1831,DB01957
1832,DB01958
1833,DB01959
1834,DB01960
1835,DB01961
1836,DB01962
1837,DB01963
1838,DB01964
1839,DB01965
1840,DB01966
1841,DB01967
1842,DB01968
1843,DB01969
1844,DB01970
1845,DB01971
1846,DB01972
1847,DB01973
1848,DB01974
1849,DB01975
1850,DB01976
1851,DB01977
1852,DB01978
1853,DB01979
1854,DB01980
1855,DB01981
1856,DB01982
1857,DB01983
1858,DB01984
1859,DB01985
1860,DB01986
1861,DB01987
1862,DB01988
1863,DB01989
1864,DB01990
1865,DB01991
1866,DB01992
1867,DB01993
1868,DB01994
