--- REPORTE GENERAL DE FRECUENCIA DE ATRIBUTOS ---
Fuentes: 4 archivos raw
------------------------------------------------------------
Atributo                                 | Frecuencia Total    
F08[C-Cl]                                | 1                   
F08[N-F]                                 | 1                   
F08[O-S]                                 | 1                   
F10[C-N]                                 | 1                   
F10[C-S]                                 | 1                   
F10[N-N]                                 | 1                   
TPSA_efficiency                          | 1                   
QEDu                                     | 1                   
MDEC-44                                  | 1                   
MDEN-13                                  | 1                   
ringChiralCenter                         | 1                   
nLevel10                                 | 1                   
phLevel1                                 | 1                   
s3_relSize                               | 1                   
s3_phSize                                | 1                   
s4_phRelSize                             | 1                   
s2_phRelSize_2                           | 1                   
s3_phRelSize_2                           | 1                   
s4_numRotBonds                           | 1                   
s3_numAroBonds                           | 1                   
ATSC0i                                   | 1                   
Eig11_EA(dm)                             | 1                   
nRNH2                                    | 1                   
CATS2D_03_DL                             | 1                   
CATS2D_08_PL                             | 1                   
s2_phSize                                | 1                   
stdP                                     | 1                   
Wap                                      | 1                   
SpMAD_B(p)                               | 1                   
P_VSA_MR_7                               | 1                   
P_VSA_s_3                                | 1                   
------------------------------------------------------------
