--- REPORTE DE CONSENSO FINAL (J48 + IBk) ---
------------------------------------------------------------
Atributo                                 | Frecuencia     
Eig12_EA(dm)                             | 1              
nROH                                     | 1              
CATS2D_09_DD                             | 1              
CATS2D_08_DA                             | 1              
CATS2D_06_DP                             | 1              
CATS2D_08_PL                             | 1              
CATS2D_00_NN                             | 1              
SHED_NL                                  | 1              
B10[C-C]                                 | 1              
TPSA_efficiency                          | 1              
s2_phSize                                | 1              
MACCSFP8                                 | 1              
MACCSFP9                                 | 1              
MACCSFP16                                | 1              
MACCSFP29                                | 1              
MACCSFP31                                | 1              
MACCSFP145                               | 1              
P_VSA_ppp_D                              | 1              
phLevel2                                 | 1              
STN_L                                    | 1              
B09[C-C]                                 | 1              
------------------------------------------------------------
