--- REPORTE DE DIAGNÓSTICO DE CONSENSO (J48 + IBk) ---
------------------------------------------------------------
Atributo (o Índice)                      | Frecuencia     
Índice Fuera de Rango: 546               | 1              
Índice Fuera de Rango: 548               | 1              
Índice Fuera de Rango: 550               | 1              
Índice Fuera de Rango: 552               | 1              
Índice Fuera de Rango: 553               | 1              
Índice Fuera de Rango: 555               | 1              
Índice Fuera de Rango: 556               | 1              
Índice Fuera de Rango: 557               | 1              
Índice Fuera de Rango: 558               | 1              
Índice Fuera de Rango: 560               | 1              
Índice Fuera de Rango: 561               | 1              
Índice Fuera de Rango: 562               | 1              
Índice Fuera de Rango: 566               | 1              
Índice Fuera de Rango: 569               | 1              
Índice Fuera de Rango: 570               | 1              
Índice Fuera de Rango: 573               | 1              
Índice Fuera de Rango: 575               | 1              
Índice Fuera de Rango: 577               | 1              
Índice Fuera de Rango: 580               | 1              
Índice Fuera de Rango: 584               | 1              
Índice Fuera de Rango: 585               | 1              
Índice Fuera de Rango: 588               | 1              
Índice Fuera de Rango: 589               | 1              
Índice Fuera de Rango: 592               | 1              
Índice Fuera de Rango: 596               | 1              
Índice Fuera de Rango: 597               | 1              
Índice Fuera de Rango: 599               | 1              
Índice Fuera de Rango: 601               | 1              
Índice Fuera de Rango: 605               | 1              
Índice Fuera de Rango: 612               | 1              
Índice Fuera de Rango: 613               | 1              
Índice Fuera de Rango: 614               | 1              
Índice Fuera de Rango: 618               | 1              
Índice Fuera de Rango: 619               | 1              
Índice Fuera de Rango: 620               | 1              
Índice Fuera de Rango: 621               | 1              
Índice Fuera de Rango: 622               | 1              
Índice Fuera de Rango: 623               | 1              
Índice Fuera de Rango: 624               | 1              
Índice Fuera de Rango: 627               | 1              
Índice Fuera de Rango: 632               | 1              
Índice Fuera de Rango: 637               | 1              
Índice Fuera de Rango: 638               | 1              
Índice Fuera de Rango: 639               | 1              
Índice Fuera de Rango: 640               | 1              
Índice Fuera de Rango: 641               | 1              
Índice Fuera de Rango: 643               | 1              
Índice Fuera de Rango: 644               | 1              
Índice Fuera de Rango: 645               | 1              
Índice Fuera de Rango: 653               | 1              
Índice Fuera de Rango: 657               | 1              
Índice Fuera de Rango: 658               | 1              
Índice Fuera de Rango: 660               | 1              
Índice Fuera de Rango: 661               | 1              
Índice Fuera de Rango: 664               | 1              
Índice Fuera de Rango: 665               | 1              
Índice Fuera de Rango: 666               | 1              
Índice Fuera de Rango: 667               | 1              
Índice Fuera de Rango: 668               | 1              
