@relation J48_training-comb.arff-weka.filters.unsupervised.attribute.Remove-R25

@attribute Psi_e_A numeric
@attribute PCR numeric
@attribute GATS8i numeric
@attribute nRCOOH numeric
@attribute nImidazoles numeric
@attribute SaaCH numeric
@attribute CATS2D_07_AP numeric
@attribute SHED_LL numeric
@attribute B05[N-O] numeric
@attribute B06[C-C] numeric
@attribute B07[C-O] numeric
@attribute B08[C-C] numeric
@attribute F03[N-S] numeric
@attribute F09[N-N] numeric
@attribute F09[N-N] numeric
@attribute MACCSFP8 numeric
@attribute MACCSFP37 numeric
@attribute MACCSFP38 numeric
@attribute MACCSFP48 numeric
@attribute MACCSFP49 numeric
@attribute MACCSFP62 numeric
@attribute MACCSFP80 numeric
@attribute MACCSFP84 numeric
@attribute MACCSFP125 numeric
@attribute Actividad {Act1,Act-1}

@data
8.6083,1.1499,0.6194,0,0,2.7951,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,Act-1
7.7323,1.5087,0.9463,0,0,16.1035,0,8.3897,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,Act1
8.3155,1.1018,0.7944,0,0,0,0,6.1356,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.1667,1.0605,0.7748,0,0,0,0,6.3889,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.2006,1.1039,0.8362,0,0,0,0,6.2995,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.0032,1.1054,0.8596,0,0,0,0,6.2172,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.25,1.2035,0.8658,0,0,4.4264,0,12.9087,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Act-1
8.313,1.1052,0.7868,0,0,0,0,6.2172,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Act-1
7.9647,1.0619,0.8537,0,0,0,0,6.2172,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
8.1944,1.0649,0.9399,0,0,0,0,9.9801,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Act-1
8.2796,1.0633,0.7876,0,0,0,0,6.2172,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Act-1
8.1944,1.1058,0.948,1,0,0,0,9.9801,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
8.0545,1.1135,0.892,0,0,0,0,6.2172,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.5806,1.0548,1.0302,0,0,0,0,12.2466,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.4417,1.0541,1.0007,0,0,0,0,13.0873,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.5361,1.1464,0.9381,0,0,10.2028,0,13.0873,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.5891,1.1196,0.9875,0,0,5.4122,0,11.2149,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.7103,1.1615,1.1334,0,0,5.8026,0,5.8469,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.5292,1.1644,1.1333,0,0,5.9553,0,6.0922,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.4684,1.1479,1.0469,0,0,6.0012,0,12.5005,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.5958,1.1781,1.114,0,0,5.8977,0,6.0922,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.6715,1.1584,1.116,0,0,6.1315,0,10.4448,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.875,1.115,0.9138,0,0,0,0,7.1656,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,Act-1
7.6771,1.069,0.697,0,0,0,0,5.8326,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act1
7.1984,1,0.7379,0,0,0,0,6.3846,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.5079,1.0686,0.806,0,0,0,0,6.0649,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
7.9633,1.0811,0.7838,0,0,0,0,6.0649,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,Act1
7.5323,1.1439,0.8076,0,0,10.2054,0,13.0701,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Act-1
